lambda (nm), E(eV), Cext [nm^2], Csca [nm^2]
250.,4.9628016,6.955617642230254e6,4.569536067217976e6
251.,4.943029482071712,6.959470446444097e6,4.577553158394673e6
252.,4.923414285714286,6.963357280332212e6,4.585660718061995e6
253.,4.903954150197628,6.967275377982885e6,4.593770157814035e6
254.,4.884647244094489,6.9712214524280755e6,4.60179200496724e6
255.,4.865491764705882,6.975191675647365e6,4.60963608490836e6
256.,4.8464859375,6.979217580980226e6,4.616818059542158e6
257.,4.827628015564202,6.983266537990554e6,4.623532490667394e6
258.,4.808916279069767,6.987310977924196e6,4.629934913925326e6
259.,4.790349034749035,6.991338273272702e6,4.636021666809663e6
260.,4.771924615384616,6.9953358884383e6,4.6417893923280025e6
261.,4.753641379310344,6.999291399096561e6,4.647234881050427e6
262.,4.7354977099236635,7.003161973794471e6,4.652360447546586e6
263.,4.7174920152091255,7.006876233844229e6,4.6571724769179635e6
264.,4.699622727272728,7.010527191258843e6,4.661647865498467e6
265.,4.681888301886793,7.014118019700829e6,4.665780512987836e6
266.,4.664287218045113,7.01765181519891e6,4.6695646830539415e6
267.,4.64681797752809,7.021131596310831e6,4.67299508415051e6
268.,4.629479104477612,7.024560303788296e6,4.676066958087484e6
269.,4.612269144981412,7.027940798724598e6,4.678776175619728e6
270.,4.595186666666667,7.031361344348094e6,4.680865577653556e6
271.,4.578230258302583,7.034740214420451e6,4.6825856683070455e6
272.,4.561398529411765,7.038055750287766e6,4.684006855739683e6
273.,4.54469010989011,7.041300057915155e6,4.68515819017301e6
274.,4.528103649635036,7.044465608221986e6,4.686067174466695e6
275.,4.511637818181818,7.047545226379444e6,4.686759699246138e6
276.,4.495291304347826,7.050532072436736e6,4.687260034253231e6
277.,4.479062815884476,7.053323563486438e6,4.687571360300459e6
278.,4.462951079136691,7.055969278724062e6,4.687721120500397e6
279.,4.446954838709678,7.058523140393109e6,4.6877416632117e6
280.,4.431072857142857,7.06099310270988e6,4.687657005486378e6
281.,4.415303914590747,7.063387106071564e6,4.687491144006256e6
282.,4.399646808510638,7.065713079812786e6,4.687268077451166e6
283.,4.3841003533568905,7.067978946781256e6,4.687011829015221e6
284.,4.36866338028169,7.070192628866471e6,4.686746469006904e6
285.,4.353334736842106,7.072379239016651e6,4.686712316370484e6
286.,4.338113286713287,7.074550530745203e6,4.686973077906054e6
287.,4.322997909407666,7.076688669792208e6,4.687227751693874e6
288.,4.307987499999999,7.078797808404074e6,4.687457047012139e6
289.,4.293080968858131,7.080882028654045e6,4.687642100672206e6
290.,4.27827724137931,7.082945355338593e6,4.687764443982375e6
291.,4.263575257731959,7.084991760990328e6,4.6878060018870765e6
292.,4.248973972602739,7.087025167597782e6,4.687749123469207e6
293.,4.234472354948806,7.089069421759517e6,4.687328531599546e6
294.,4.220069387755102,7.091138486242702e6,4.68639767244803e6
295.,4.20576406779661,7.093199253053938e6,4.685397208561827e6
296.,4.191555405405406,7.095251109011209e6,4.684366655326193e6
297.,4.1774424242424235,7.097293592963793e6,4.683344311652504e6
298.,4.163424161073825,7.0993263921873765e6,4.682367257452236e6
299.,4.149499665551839,7.101349341883172e6,4.681471410392951e6
300.,4.135668000000001,7.103362417671062e6,4.680691639612197e6
301.,4.121928239202658,7.105365725491683e6,4.680061934307086e6
302.,4.108279470198675,7.107351111202403e6,4.680367429739979e6
303.,4.094720792079208,7.1093273449438345e6,4.680980333811397e6
304.,4.081251315789474,7.11129669945552e6,4.681751086531706e6
305.,4.067870163934426,7.11325990561589e6,4.682653469190735e6
306.,4.054576470588235,7.115217625018763e6,4.683661517364997e6
307.,4.041369381107492,7.117170455753847e6,4.684749367648578e6
308.,4.028248051948053,7.119118942973029e6,4.685891136806194e6
309.,4.015211650485437,7.12106358357358e6,4.687060833035724e6
310.,4.00225935483871,7.123004829472926e6,4.688232299254009e6
311.,3.989390353697749,7.1249448925952e6,4.689341883028026e6
312.,3.976603846153846,7.126917514840282e6,4.689663985277083e6
313.,3.963899041533546,7.128884367035366e6,4.6899643105061725e6
314.,3.951275159235669,7.130843454117263e6,4.6902661517944075e6
315.,3.9387314285714283,7.132792847298958e6,4.690592539200926e6
316.,3.9262670886075948,7.134730682419207e6,4.690966276496626e6
317.,3.913881388012618,7.136655148041938e6,4.691410012146991e6
318.,3.9015735849056603,7.138564476350385e6,4.691946344331598e6
319.,3.889342946708464,7.140456926364912e6,4.692597960034017e6
320.,3.87718875,7.142330763664552e6,4.693387808564981e6
321.,3.8651102803738313,7.144165906821318e6,4.694801961139833e6
322.,3.853106832298136,7.145952047332516e6,4.697085056800702e6
323.,3.841177708978328,7.1477158865007935e6,4.699537934875184e6
324.,3.829322222222222,7.149457635890734e6,4.702124777664373e6
325.,3.8175396923076925,7.151177508071583e6,4.704808560350863e6
326.,3.805829447852761,7.152875745831229e6,4.707550764927764e6
327.,3.7941908256880734,7.1545526494774e6,4.710311163984653e6
328.,3.7826231707317075,7.156208593171131e6,4.713047677634802e6
329.,3.771125835866261,7.1578440422583185e6,4.715716307593707e6
330.,3.759698181818182,7.159459561985246e6,4.718271152868439e6
331.,3.7483395770392747,7.161055821331797e6,4.720664511677633e6
332.,3.737049397590362,7.162627103454446e6,4.722500507107663e6
333.,3.725827027027027,7.164163155368492e6,4.723112715506773e6
334.,3.714671856287425,7.165684413516218e6,4.7234868661635e6
335.,3.7035832835820894,7.1671929294818705e6,4.723641265902423e6
336.,3.692560714285714,7.16869076908116e6,4.723594785602775e6
337.,3.681603560830861,7.170180010619181e6,4.72336675885836e6
338.,3.67071124260355,7.171662746628133e6,4.722976886954553e6
339.,3.659883185840708,7.173141079672923e6,4.722445150617614e6
340.,3.649118823529412,7.174617125112887e6,4.721791728934762e6
341.,3.6384175953079176,7.176093010755203e6,4.72103692578456e6
342.,3.6277789473684208,7.1775708774466645e6,4.720201104060952e6
343.,3.617202332361516,7.179038600116464e6,4.719256080015571e6
344.,3.6066872093023257,7.1804733247846775e6,4.718137548907095e6
345.,3.596233043478261,7.1819188951135175e6,4.717007597715673e6
346.,3.5858393063583813,7.183380044368198e6,4.715894839281585e6
347.,3.5755054755043223,7.184861536444284e6,4.714827715566776e6
348.,3.5652310344827587,7.186368167775164e6,4.713834481225906e6
349.,3.55501547277937,7.187904770065648e6,4.712943198244589e6
350.,3.5448582857142856,7.189476217579549e6,4.712181741603348e6
351.,3.5347589743589745,7.191087429796035e6,4.711577815918699e6
352.,3.5247170454545453,7.1927433821760155e6,4.711158983012395e6
353.,3.514732011331445,7.194449115219459e6,4.710952700366869e6
354.,3.5048033898305087,7.196209745820967e6,4.7109863704336155e6
355.,3.4949307042253523,7.1981538787128115e6,4.711946831200222e6
356.,3.4851134831460673,7.200281329148123e6,4.713825051791398e6
357.,3.4753512605042016,7.202473993670729e6,4.715986503674702e6
358.,3.4656435754189947,7.204728513757992e6,4.718412332149637e6
359.,3.4559899721448466,7.207041492726385e6,4.721083710287075e6
360.,3.44639,7.209409486123445e6,4.723981795463315e6
361.,3.4368432132963993,7.211828992597542e6,4.727087689753416e6
