lambda (nm), E(eV), Cext [nm^2], Csca [nm^2]
250.,4.9628016,6.899836590965524e6,4.380411622294133e6
251.,4.943029482071712,6.901747342353086e6,4.379776480792526e6
252.,4.923414285714286,6.903617045662399e6,4.378881322959917e6
253.,4.903954150197628,6.905441177597684e6,4.377747391913073e6
254.,4.884647244094489,6.907215189729266e6,4.3763953150459565e6
255.,4.865491764705882,6.908934498821205e6,4.37484503615264e6
256.,4.8464859375,6.9105472750286e6,4.373261938915687e6
257.,4.827628015564202,6.912096548937161e6,4.371512512881099e6
258.,4.808916279069767,6.913590960578429e6,4.369574228695186e6
259.,4.790349034749035,6.91503392870081e6,4.367441517778323e6
260.,4.771924615384616,6.916428937206744e6,4.365109207200603e6
261.,4.753641379310344,6.917779542183384e6,4.362572548146413e6
262.,4.7354977099236635,6.9191393179044565e6,4.359898073489192e6
263.,4.7174920152091255,6.92053380701104e6,4.357114435042447e6
264.,4.699622727272728,6.921877868168472e6,4.354092697234573e6
265.,4.681888301886793,6.923159374278355e6,4.350806731245956e6
266.,4.664287218045113,6.924366104312104e6,4.34723010693778e6
267.,4.64681797752809,6.925485739798601e6,4.343336066136543e6
268.,4.629479104477612,6.926505859107846e6,4.339097495310976e6
269.,4.612269144981412,6.927400014473218e6,4.334409134556031e6
270.,4.595186666666667,6.9280480416296e6,4.3286449478621585e6
271.,4.578230258302583,6.928576642666158e6,4.322557550082169e6
272.,4.561398529411765,6.9289887672863295e6,4.3162049454862345e6
273.,4.54469010989011,6.929287111132877e6,4.309643380670964e6
274.,4.528103649635036,6.92947407521408e6,4.302927420262694e6
275.,4.511637818181818,6.9295517253846815e6,4.29611008124767e6
276.,4.495291304347826,6.929521756631523e6,4.289243027260828e6
277.,4.479062815884476,6.929483417383815e6,4.28329179182136e6
278.,4.462951079136691,6.929343554085319e6,4.277432587386834e6
279.,4.446954838709678,6.929081067216129e6,4.271514383853818e6
280.,4.431072857142857,6.9286855191587275e6,4.265488315492277e6
281.,4.415303914590747,6.92814621939626e6,4.259305994158025e6
282.,4.399646808510638,6.927452194232462e6,4.252919347612561e6
283.,4.3841003533568905,6.926592156222497e6,4.246280470770654e6
284.,4.36866338028169,6.925554471807634e6,4.239341489132623e6
285.,4.353334736842106,6.924413651022867e6,4.232156610843386e6
286.,4.338113286713287,6.923122117686301e6,4.224634929497471e6
287.,4.322997909407666,6.921596030641869e6,4.216643784048307e6
288.,4.307987499999999,6.919807887928738e6,4.208117945471602e6
289.,4.293080968858131,6.917728816745933e6,4.198991339916681e6
290.,4.27827724137931,6.915328350876574e6,4.189196946863267e6
291.,4.263575257731959,6.912574157258816e6,4.178666687198213e6
292.,4.248973972602739,6.909431703409399e6,4.1673313000685084e6
293.,4.234472354948806,6.905800053830374e6,4.154272861957446e6
294.,4.220069387755102,6.9016682121471055e6,4.1397533243256845e6
295.,4.20576406779661,6.897044420055488e6,4.1243833610042054e6
296.,4.191555405405406,6.891888053160387e6,4.1082114958100338e6
297.,4.1774424242424235,6.886151801845386e6,4.0912866486097644e6
298.,4.163424161073825,6.879780446542581e6,4.0736598514344995e6
299.,4.149499665551839,6.872709471174768e6,4.055386771745034e6
300.,4.135668000000001,6.864863517504254e6,4.0365313514135205e6
301.,4.121928239202658,6.855997966699346e6,4.016958389107648e6
302.,4.108279470198675,6.844688219649279e6,3.995078847783865e6
303.,4.094720792079208,6.832241479126806e6,3.973077957921365e6
304.,4.081251315789474,6.818639965867683e6,3.9513230960650533e6
305.,4.067870163934426,6.803877941978724e6,3.930251133691936e6
306.,4.054576470588235,6.787974535351691e6,3.9103891687045274e6
307.,4.041369381107492,6.7709919168731915e6,3.8923795068699056e6
308.,4.028248051948053,6.753059290474321e6,3.8770075040631266e6
309.,4.015211650485437,6.734401461851657e6,3.8652282883384973e6
310.,4.00225935483871,6.715367579205283e6,3.858184250381734e6
311.,3.989390353697749,6.696014150558486e6,3.8555043520995392e6
312.,3.976603846153846,6.676210320269068e6,3.85621782466215e6
313.,3.963899041533546,6.657721932189798e6,3.8660610882062456e6
314.,3.951275159235669,6.64152982106871e6,3.8869961053070417e6
315.,3.9387314285714283,6.628601982820216e6,3.9207244064444336e6
316.,3.9262670886075948,6.619723362758321e6,3.968377864862934e6
317.,3.913881388012618,6.615345897592126e6,4.0302510954569355e6
318.,3.9015735849056603,6.615519555969256e6,4.1056793316398207e6
319.,3.889342946708464,6.619928924782191e6,4.1931267415632936e6
320.,3.87718875,6.628009124374333e6,4.290479137324499e6
321.,3.8651102803738313,6.645881916341032e6,4.412008213769486e6
322.,3.853106832298136,6.668793322160627e6,4.549329564978505e6
323.,3.841177708978328,6.691055541256602e6,4.690773351501247e6
324.,3.829322222222222,6.712262373982697e6,4.836777416880793e6
325.,3.8175396923076925,6.732240061801908e6,4.98816700261977e6
326.,3.805829447852761,6.750964113452113e6,5.145850262770714e6
327.,3.7941908256880734,6.768501615200327e6,5.310512123243321e6
328.,3.7826231707317075,6.784970418438206e6,5.482267519433244e6
329.,3.771125835866261,6.800508915934359e6,5.660289821666543e6
330.,3.759698181818182,6.81525275625781e6,5.842482155565345e6
331.,3.7483395770392747,6.829316972621539e6,6.025283821467238e6
332.,3.737049397590362,6.840883688468532e6,6.157579662848881e6
333.,3.725827027027027,6.850254170885496e6,6.230294434126026e6
334.,3.714671856287425,6.859476081502871e6,6.28785720612019e6
335.,3.7035832835820894,6.868599001690925e6,6.331127845342346e6
336.,3.692560714285714,6.877656662068811e6,6.361365019601907e6
337.,3.681603560830861,6.886671809340524e6,6.380130301385667e6
338.,3.67071124260355,6.895659648382515e6,6.389188857564832e6
339.,3.659883185840708,6.904630202530878e6,6.39041821908866e6
340.,3.649118823529412,6.913589875104336e6,6.385731906176797e6
341.,3.6384175953079176,6.92254242946991e6,6.3770208480899e6
342.,3.6277789473684208,6.931489555928567e6,6.366112833702472e6
343.,3.617202332361516,6.940473757574844e6,6.373137837820549e6
344.,3.6066872093023257,6.949467158122093e6,6.398739259360462e6
345.,3.596233043478261,6.958412871974459e6,6.424391446888269e6
346.,3.5858393063583813,6.967305018356904e6,6.450013878446931e6
347.,3.5755054755043223,6.976138060498176e6,6.475530679306873e6
348.,3.5652310344827587,6.98490676665745e6,6.500870250692983e6
349.,3.55501547277937,6.9936061753528705e6,6.525964918517401e6
350.,3.5448582857142856,7.002231567492396e6,6.550750601777275e6
351.,3.5347589743589745,7.010778437467299e6,6.575166500123435e6
352.,3.5247170454545453,7.019242473177703e6,6.599154800008115e6
353.,3.514732011331445,7.027619536836771e6,6.622660398760582e6
354.,3.5048033898305087,7.035905649406352e6,6.645630645914283e6
355.,3.4949307042253523,7.043883981153859e6,6.666431364174848e6
356.,3.4851134831460673,7.051710527966779e6,6.68622673053661e6
357.,3.4753512605042016,7.059444324455381e6,6.705437122337665e6
358.,3.4656435754189947,7.06709208638468e6,6.724089605028543e6
359.,3.4559899721448466,7.074660785810003e6,6.742211530670383e6
360.,3.44639,7.082157647015347e6,6.759830415978329e6
361.,3.4368432132963993,7.089590144710821e6,6.77697384713376e6
362.,3.427349171270718,7.096966002325603e6,6.793669406808554e6
363.,3.417907438016529,7.104293202491689e6,6.809944619584757e6
364.,3.408517582417583,7.111579979456498e6,6.825826912583535e6
365.,3.399179178082192,7.118834833790747e6,6.841343588653478e6
366.,3.3898918032786884,7.126066539433275e6,6.856521809925708e6
367.,3.3806550408719347,7.133284155439379e6,6.871388589933691e6
368.,3.3714684782608693,7.140524823806362e6,6.886077988076009e6
369.,3.362331707317073,7.148020214033662e6,6.90146285546616e6
370.,3.3532443243243244,7.155523767758851e6,6.916571912488478e6
371.,3.344205929919138,7.163036697886247e6,6.931397971140646e6
